(
(0 1.724233)
(300 1.683867)
(600 1.7040485)
(900 1.643501)
(1200 1.643501)
(1500 1.683867)
(1800 1.6636825)
(2100 1.7458006)
(2400 1.767365)
(2560 2.169544)
(2700 2.5423565)
(3000 2.5681641)
(3300 3.11608)
(3405 3.5325918)
(3600 4.3537645)
(3605 4.527)
(3645 5.2655187)
(3685 6.0655298)
(3725 6.9278631)
(3745 7.3826489)
(3760 7.8533092)
(3800 8.8426237)
(3840 9.8965273)
(3880 11.015716)
(3900 11.6)
(3910 12.208526)
(3940 13.475831)
(3950 14.134732)
(3980 15.503328)
(3990 16.213139)
(4020 17.684065)
(4035 18.44529)
(4045 19.223761)
(4075 20.832649)
(4085 21.66317)
(4115 23.376614)
(4125 24.259634)
(4155 26.078516)
(4170 27.014469)
(4180 27.968159)
(4195 28.939631)
(4200 29.137487)
(4500 30.835375)
(4510 31.961182)
(4520 33.004223)
(4535 34.065266)
(4555 36.241512)
(4570 37.3568)
(4590 39.641914)
(4605 40.811813)
(4625 43.206505)
(4640 44.431374)
(4660 46.936337)
(4675 48.216503)
(4695 50.832405)
(4710 52.168209)
(4730 54.895702)
(4745 56.287457)
(4765 59.127163)
(4780 60.575184)
(4790 62.042023)
(4800 62.933449)
(4805 63.527718)
(4825 65.032303)
(4840 66.555801)
(4860 68.098259)
(4875 69.659698)
(4915 72.839653)
(4930 74.458229)
(4970 77.752747)
(4985 79.428749)
(5025 82.838379)
(5040 84.572067)
(5060 86.325043)
(5075 88.097336)
(5095 89.888985)
(5100 90.070099)
(5110 91.699997)
(5130 93.426552)
(5160 96.927063)
(5190 100.49073)
(5210 102.29624)
(5240 105.95458)
(5270 109.67599)
(5290 111.56033)
(5320 115.37625)
(5335 117.30782)
(5355 119.25513)
(5385 123.19695)
(5400 124.79251)
(5700 125.39247)
(5735 127.20164)
(5770 129.22755)
(5850 133.32651)
(5930 137.48827)
(5970 139.59267)
(6000 141.07677)
(6005 141.71277)
(6025 143.84854)
(6075 148.16713)
(6095 150.34991)
(6145 154.7625)
(6165 156.99226)
(6190 159.23769)
(6210 161.49876)
(6260 166.06783)
(6280 168.37582)
(6300 170.00238)
(6305 170.69943)
(6345 175.39355)
(6385 180.15015)
(6425 184.96918)
(6465 189.85063)
(6505 194.79446)
(6545 199.80066)
(6585 204.86919)
(6600 206.65955)
(6900 207.17102)
(6905 207.4268)
(7055 212.58876)
(7130 215.19308)
(7200 217.55096)
(7230 217.81297)
(7500 219.9213)
(7505 213.10965)
(7570 215.19308)
(7800 222.30414)
(7820 220.44841)
(7890 215.19308)
(7960 210)
(8030 204.86919)
(8065 202.32713)
(8100 200.05333)
(8400 200.05333)
(8700 199.04742)
(8725 199.80066)
(8825 202.32713)
(8920 204.86919)
(9000 206.91525)
(9080 204.86919)
(9185 202.32713)
(9285 199.80066)
(9300 199.54956)
(9475 197.28978)
(9600 195.79257)
(9710 197.28978)
(9900 199.80066)
(9965 197.28978)
(10035 194.79446)
(10100 192.31476)
(10170 189.85063)
(10200 188.87123)
(10220 187.4021)
(10300 182.55186)
(10340 180.15015)
(10375 177.76404)
(10455 173.03868)
(10495 170.69943)
(10500 170.46706)
(10530 168.37582)
(10610 163.77548)
(10645 161.49876)
(10685 159.23769)
(10720 156.99226)
(10800 152.54839)
(11020 148.16713)
(11100 146.65012)
(11115 146)
(11225 141.71277)
(11275 139.59267)
(11385 135.39954)
(11400 134.98491)
(11430 133.32651)
(11520 129.22755)
(11565 127.20164)
(11605 125.19144)
(11695 121.21818)
(11700 121.02186)
(11780 119.25513)
(11960 115.37625)
(12000 114.60993)
(12030 113.46042)
(12140 109.67599)
(12250 105.95458)
(12300 104.30125)
(12340 102.29624)
(12410 98.701004)
(12450 96.927063)
(12520 93.426552)
(12555 91.699997)
(12595 89.888985)
(12600 89.709808)
(12900 86.502281)
(12905 86.325043)
(13005 84.572067)
(13100 82.838379)
(13200 81.123947)
(13390 77.752747)
(13590 74.458229)
(13800 71.24015)
(14100 69.191261)
(14305 68.098259)
(14400 67.635513)
(14470 66.555801)
(14580 65.032303)
(14685 63.527718)
(14700 63.379139)
(14825 62.042023)
(14970 60.575184)
(15000 60.285583)
(15065 59.127163)
(15150 57.697933)
(15230 56.287457)
(15300 55.174049)
(15600 55.730762)
(15665 54.895702)
(15885 52.168209)
(15900 52.034622)
(15965 50.832405)
(16115 48.216503)
(16190 46.936337)
(16200 46.810158)
(16500 47.064362)
(16510 46.936337)
(16800 44.431374)
(17100 44.804356)
(17340 43.206505)
(17400 42.844551)
(17700 42.361954)
(17735 42)
(17865 40.811813)
(18000 39.641914)
(18300 37.3568)
(18460 35.144348)
(18540 34.065266)
(18600 33.32254)
(18900 33.959156)
(19200 32.795616)
(19245 33.004223)
(19500 34.065266)
(19640 33.004223)
(19800 31.858667)
(19990 30.936098)
(20100 30.432514)
(20400 29.43428)
(20700 30.936098)
(20780 29.92893)
(20865 28.939631)
(20945 27.968159)
(21000 27.395939)
(21300 27.205204)
(21530 28.939631)
(21600 29.43428)
(21750 27.968159)
(21900 26.546494)
(22200 27.395939)
(22330 27.014469)
(22500 26.546494)
(22800 27.014469)
(23100 26.452892)
(23400 26.920868)
(23500 26.078516)
(23615 25.160254)
(23700 24.529823)
(24000 24.259634)
(24300 23.203522)
(24600 23.376614)
(24900 22.684233)
(24935 22.511141)
(25135 21.66317)
(25200 21.414011)
(25500 21.832762)
(25550 21.66317)
(25800 20.915707)
(25815 20.832649)
(25990 20.019529)
(26100 19.542063)
(26215 19.223761)
(26400 18.756674)
(26700 18.44529)
(27000 17.535261)
(27300 18.140804)
(27460 17.684065)
(27600 17.31205)
(27900 17.31205)
(28145 18.44529)
(28200 18.678833)
(28260 18.44529)
(28475 17.684065)
(28500 17.609657)
(28800 17.088837)
(29100 17.460854)
(29220 16.940033)
(29400 16.213139)
(29700 15.295491)
(30000 15.716273)
(30300 15.858233)
(30600 15.295491)
(30900 15.503328)
(31200 15.645288)
(31235 15.503328)
(31435 14.810545)
(31500 14.6078)
(31800 14.269893)
(32100 14.6078)
(32700 15.018382)
(33000 14.675385)
(33300 15.018382)
(33600 14.405053)
(33690 14.134732)
(33900 13.541725)
(34200 13.673504)
(34500 14.002954)
(34800 13.607609)
(35100 13.154806)
(35400 13.541725)
(35700 13.411622)
(35920 12.833782)
(36000 12.646203)
(36300 12.833782)
(36600 12.396105)
(36900 12.14767)
(37200 12.025967)
(37360 11.6)
(37500 11.249426)
(37800 10.902158)
(38100 11.660856)
(38400 11.424713)
(38700 11.483145)
(39000 10.958933)
(39300 10.561477)
)
